"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"31365",10903137,"JA214794","04/04/2017 08:00:00 AM","040XX W JACKSON BLVD","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","OTHER","false","false",1115,11,28,26,"07",1149442,1898379,2017,"04/11/2017 03:57:40 PM",41.877072704,-87.726758704,"(41.877072704, -87.726758704)"
"42736",10883186,"JA193124","03/19/2017 09:15:00 PM","071XX S DORCHESTER AVE","0810","THEFT","OVER $500","CONSTRUCTION SITE","false","false",324,3,5,43,"06",1186779,1857721,2017,"03/26/2017 03:47:28 PM",41.764698678,-87.590959498,"(41.764698678, -87.590959498)"
"45877",10878600,"JA187703","03/15/2017 09:55:00 AM","053XX S LOOMIS BLVD","0560","ASSAULT","SIMPLE","SIDEWALK","false","false",934,9,16,61,"08A",1167902,1869441,2017,"03/22/2017 03:49:49 PM",41.797286045,-87.659812184,"(41.797286045, -87.659812184)"
"40249",10887816,"JA197518","03/23/2017 12:01:00 AM","073XX W JARVIS AVE","0820","THEFT","$500 AND UNDER","STREET","false","false",1611,16,41,9,"06",1126245,1948575,2017,"03/30/2017 03:51:05 PM",42.015234836,-87.810809365,"(42.015234836, -87.810809365)"
"51533",10874754,"JA182898","03/05/2017 05:30:00 PM","057XX S WABASH AVE","2820","OTHER OFFENSE","TELEPHONE THREAT","RESIDENCE","false","true",232,2,20,40,"26",1177694,1866997,2017,"03/13/2017 03:46:44 PM",41.790363328,-87.623977766,"(41.790363328, -87.623977766)"
"92917",10812288,"JA108257","01/03/2017 12:00:00 PM","017XX N LARRABEE ST","1122","DECEPTIVE PRACTICE","COUNTERFEIT CHECK","BANK","false","false",1813,18,43,7,"10",NA,NA,2017,"01/11/2017 03:52:20 PM",NA,NA,""
"74943",10832704,"JA134727","01/29/2017 09:45:00 PM","023XX W JACKSON BLVD","2093","NARCOTICS","FOUND SUSPECT NARCOTICS","APARTMENT","true","false",1225,12,2,28,"18",1160842,1898642,2017,"02/14/2017 03:49:42 PM",41.877565688,-87.684893829,"(41.877565688, -87.684893829)"
"30665",10904525,"JA216254","04/07/2017 04:25:00 PM","059XX S PRAIRIE AVE","051A","ASSAULT","AGGRAVATED: HANDGUN","ALLEY","false","false",232,2,20,40,"04A",1179056,1865700,2017,"04/14/2017 03:50:04 PM",41.78677329,-87.619023222,"(41.78677329, -87.619023222)"
"4150",10943544,"JA261980","05/12/2017 10:00:00 PM","019XX N AUSTIN AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false",2513,25,29,25,"14",1136098,1912178,2017,"05/19/2017 03:52:48 PM",41.915187259,-87.775425225,"(41.915187259, -87.775425225)"
"9742",10937432,"JA254507","05/05/2017 09:00:00 AM","013XX W ADDISON ST","1330","CRIMINAL TRESPASS","TO LAND","RESIDENCE-GARAGE","false","false",1923,19,44,6,"26",1166548,1924019,2017,"05/12/2017 03:47:54 PM",41.947081556,-87.663214963,"(41.947081556, -87.663214963)"
